customer_id,total_spent,orders,segment
12346,77556.46,12,High Value
12347,4921.529999999995,8,Low Value
12348,2019.4,5,Low Value
12349,4428.690000000003,4,Low Value
12350,334.3999999999999,1,Low Value
12351,300.93,1,Low Value
12352,2849.8400000000015,10,Low Value
12353,406.76,2,Low Value
12354,1079.4,1,Low Value
12355,947.6100000000001,2,Low Value
12356,6371.729999999997,6,Medium Value
12357,18287.659999999993,3,High Value
12358,3887.0700000000024,5,Low Value
12359,8873.390000000003,10,Medium Value
12360,4252.89,8,Low Value
12361,511.24999999999994,4,Low Value
12362,5356.230000000005,11,Medium Value
12363,552,2,Low Value
12364,1313.1000000000001,4,Low Value
12365,641.3799999999999,2,Low Value
12366,500.24,1,Low Value
12367,168.9,1,Low Value
12368,917.7,1,Low Value
12369,1791.1500000000003,3,Low Value
12370,4316.559999999998,7,Low Value
12371,4067.3799999999987,5,Low Value
12372,1298.0400000000004,3,Low Value
12373,1127.6500000000003,3,Low Value
12374,2989.2200000000003,4,Low Value
12375,457.5000000000001,2,Low Value
12376,503.15,2,Low Value
12377,3426.3199999999965,4,Low Value
12378,5416.320000000003,2,Medium Value
12379,1620.2199999999996,4,Low Value
12380,9676.300000000001,11,Medium Value
12381,1845.3100000000009,5,Low Value
12383,1850.5599999999997,5,Low Value
12384,585.2700000000001,2,Low Value
12385,1938.3999999999999,1,Low Value
12386,401.9,2,Low Value
12387,143.94,1,Low Value
12388,3901.1099999999997,8,Low Value
12389,1433.33,3,Low Value
12390,549.84,1,Low Value
12391,2724.839999999995,6,Low Value
12392,234.75000000000003,1,Low Value
12393,2399.4499999999994,6,Low Value
12394,1272.48,2,Low Value
12395,4721.169999999996,15,Low Value
12396,931.4300000000003,1,Low Value
12397,2409.9,2,Low Value
12398,1635.6599999999999,1,Low Value
12399,1962.3000000000015,7,Low Value
12400,205.25000000000003,1,Low Value
12401,84.30000000000001,1,Low Value
12402,1256.9000000000003,6,Low Value
12403,1019.3600000000001,2,Low Value
12404,63.24,1,Low Value
12405,1710.39,1,Low Value
12406,6390.359999999996,5,Medium Value
12407,1708.1199999999997,5,Low Value
12408,4340.770000000004,8,Low Value
12409,23419.29,7,High Value
12410,1013.7099999999998,3,Low Value
12411,346.90000000000003,1,Low Value
12412,2596.930000000001,6,Low Value
12413,999.4499999999999,4,Low Value
12414,952.4100000000001,6,Low Value
12415,144458.3699999997,28,High Value
12416,202.55999999999997,1,Low Value
12417,6797.409999999999,20,Medium Value
12418,2021.2000000000003,4,Low Value
12419,503.00999999999993,2,Low Value
12420,600.3899999999999,1,Low Value
12421,1098.6,6,Low Value
12422,5231.7999999999965,17,Medium Value
12423,2622.389999999998,10,Low Value
12424,3340.03,4,Low Value
12425,1741.4099999999999,2,Low Value
12426,1345.2100000000005,2,Low Value
12427,825.8000000000002,3,Low Value
12428,7956.460000000004,9,Medium Value
12429,6204.409999999998,8,Medium Value
12430,256.4,1,Low Value
12431,10432.219999999992,27,High Value
12432,5059.3200000000015,5,Medium Value
12433,16794.139999999992,10,High Value
12434,1103.4299999999998,3,Low Value
12435,13925.930000000002,6,High Value
12436,509.01,1,Low Value
12437,12683.400000000003,39,High Value
12438,2906.85,2,Low Value
12439,1142.8800000000003,2,Low Value
12440,859.2,2,Low Value
12441,173.55,1,Low Value
12442,172.06,1,Low Value
12443,485.31,1,Low Value
12444,5005.460000000001,5,Medium Value
12445,434.97999999999996,2,Low Value
12446,1002.3099999999998,1,Low Value
12447,476.49,1,Low Value
12448,449.45,1,Low Value
12449,4835.890000000002,6,Low Value
12450,688.2,5,Low Value
12451,12669.879999999994,8,High Value
12452,430.57000000000005,2,Low Value
12453,707.0899999999998,1,Low Value
12454,16679.78,5,High Value
12455,5879.950000000003,10,Medium Value
12456,3181.0399999999977,3,Low Value
12457,2995.9100000000003,8,Low Value
12458,1777.49,4,Low Value
12459,454.36000000000007,1,Low Value
12460,326.6500000000001,1,Low Value
12461,826.8800000000001,2,Low Value
12462,1189.5900000000004,2,Low Value
12463,1344.78,4,Low Value
12464,1212.0499999999997,8,Low Value
12465,742.1900000000002,2,Low Value
12466,56.73,1,Low Value
12467,132.8,1,Low Value
12468,3670.7400000000002,5,Low Value
12469,3070.5399999999986,2,Low Value
12470,211.95000000000002,1,Low Value
12471,39918.190000000046,79,High Value
12472,16249.290000000012,19,High Value
12473,3928.0499999999993,5,Low Value
12474,12372.749999999995,31,High Value
12475,1149.6399999999996,2,Low Value
12476,14083.909999999982,23,High Value
12477,20276.369999999995,9,High Value
12478,680.99,1,Low Value
12479,527.1999999999999,1,Low Value
12480,5464.850000000002,7,Medium Value
12481,12185.509999999987,15,High Value
12482,23691.399999999983,29,High Value
12483,5097.179999999999,19,Medium Value
12484,6354.100000000003,12,Medium Value
